id,topic,description,tags,language,category,teacher,sectionsCount,price,studentsEnrolled,avgRating
681101011eaf7f9e39eacd4d,c++,comptetive field language,"[""hello""]",Hinglish,comptetive,dhairya rathore,1,200,0,0
681101311eaf7f9e39eadf87,graphic design,hhhhhhh,"[""web devlopment""]",Hinglish,Devops,dhairya rathore,1,400,0,0
68112f4f26d5f9c58a2c573e,dummy course 1,gghggg,"[""web devlopment""]",English,Devops,dhairya rathore,1,2,0,0
681265cfe570460df4ec96e4,python,hello this is python course,"[""hello""]",English,comptetive programming,dhairya rathore,1,200,0,0
68127872e570460df4eca4fe,dummy course 1,ggggg,"[""web devlopment""]",Hinglish,comptetive programming,dhairya rathore,1,400,0,0.0
681fc3d6a4c90f1353b63d7c,Data structures and algorithms,for comptetive programming is very important,"[""dsa"",""programming"",""compteteive progremming""]",Hindi,comptetive programming,dhairya rathore,2,8000,0,0.0
6826e5d09a4adc9d2f865cc1,Web devlopment,hello this is mern stack web devlopment course,"[""web devlopment""]",Hindi,Devops,dhairya rathore,3,3500,2,0.0
683308a1345c28c36e611bac,C/C++ ,Computer programming is the process of creating a sequence of instructions (code) that a computer follows to perform a specific task,"[""c"",""c++"",""pogramming"",""comptetive programming""]",Hindi,comptetive programming,dhairya rathore,2,400,0,0.0
685c02d50d8ae875b3941b67,english,bjvjvhvhch,"[""bv""]",English,UI/UX DESIGN,dhairya rathore,1,200,0,0
6888c26a75c76502ed9712fd,jbjkb,mvvjhv,"[""hcgcgvc""]",English,comptetive programming,dhairya rathore,1,300,1,0
688a5e450176ae3fa949e542,bjuvuvyuc,ijbjbj,"[""cp""]",Hinglish,comptetive programming,dhairya rathore,1,200,0,0
